,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco
0,2022-10-01,14.1,8.3,70.5,0.0,66.5,5.0,1020.7,5.0
1,2022-10-02,16.7,6.3,52.8,0.0,34.1,3.4,1018.0,1.0
2,2022-10-03,17.9,6.0,46.4,0.0,41.3,4.0,1020.0,3.0
3,2022-10-04,16.6,5.1,47.7,0.0,46.7,4.4,1020.0,5.0
4,2022-10-05,18.1,6.5,47.8,0.0,346.4,1.6,1021.0,3.0
5,2022-10-06,16.8,5.4,48.0,0.0,24.9,3.1,1023.4,5.0
6,2022-10-07,17.0,4.6,44.6,0.0,29.5,3.7,1025.0,3.0
7,2022-10-08,17.6,4.9,44.3,0.0,21.9,2.2,1024.3,3.0
8,2022-10-09,17.7,5.3,44.9,0.0,15.2,2.5,1022.2,1.0
9,2022-10-10,14.2,6.8,61.6,0.0,257.3,8.5,1019.1,5.0
10,2022-10-11,10.0,6.6,81.4,2.8,247.9,10.2,1020.3,8.0
11,2022-10-12,14.1,3.7,51.7,0.0,266.6,5.9,1024.7,3.0
12,2022-10-13,14.5,2.8,46.9,0.0,54.7,4.0,1025.2,3.0
13,2022-10-14,17.1,1.9,36.3,0.0,278.9,4.5,1019.8,3.0
14,2022-10-15,14.7,3.3,47.0,0.0,95.8,8.3,1018.2,3.0
15,2022-10-16,13.0,2.4,50.6,0.0,98.5,12.1,1018.2,1.0
16,2022-10-17,13.9,0.9,41.8,0.0,70.1,6.0,1020.4,1.0
17,2022-10-18,14.6,1.6,42.9,0.0,26.4,1.9,1022.7,5.0
18,2022-10-19,14.7,1.4,43.8,0.0,29.1,2.5,1026.3,5.0
19,2022-10-20,12.5,3.8,56.7,0.0,241.2,7.6,1021.6,5.0
20,2022-10-21,4.6,2.0,84.1,10.2,269.1,12.7,1012.1,13.0
21,2022-10-22,0.9,-0.1,93.0,6.8,259.1,8.5,1003.9,13.0
22,2022-10-23,0.6,-0.7,91.2,0.0,274.1,7.1,1013.9,5.0
23,2022-10-24,1.8,0.6,91.7,12.7,303.0,7.3,1015.5,15.0
24,2022-10-25,2.0,1.0,93.2,4.3,267.6,10.6,1017.3,15.0
25,2022-10-26,0.4,-0.7,92.6,14.6,252.0,9.8,1012.7,16.0
26,2022-10-27,2.8,1.1,89.3,1.0,301.7,7.2,1018.4,5.0
27,2022-10-28,5.1,2.3,82.7,7.4,306.8,4.0,1017.2,9.0
28,2022-10-29,4.5,2.6,88.1,0.0,290.0,5.8,1023.9,5.0
29,2022-10-30,4.3,3.5,94.3,9.3,276.7,8.5,1021.0,9.0
30,2022-10-31,5.6,4.7,94.1,38.0,263.9,12.6,1010.6,9.0
31,2022-11-01,0.4,-0.8,91.8,4.1,283.0,6.1,1005.2,15.0
32,2022-11-02,-1.4,-3.0,88.9,4.4,313.8,4.2,1007.5,21.0
33,2022-11-03,-1.8,-3.2,90.3,1.1,309.5,3.6,1018.7,15.0
34,2022-11-04,2.6,1.6,92.9,78.6,319.7,6.8,1008.1,16.0
35,2022-11-05,1.3,0.2,92.1,32.7,257.6,17.3,1001.8,16.0
36,2022-11-06,-2.4,-4.0,88.8,14.8,37.1,5.9,1003.9,21.0
37,2022-11-07,-2.1,-3.4,90.9,10.6,7.0,4.2,996.5,16.0
